timestamp,lat,lon,elapsed_seconds,manual_timediff
2025-01-12 09:00:00,49.257834097433594,-123.24186395886082,0,0
2025-01-12 09:00:01,49.257832300442146,-123.24185090899795,1,1
2025-01-12 09:00:02,49.257830503450705,-123.24183785913507,2,2
2025-01-12 09:00:03,49.25782870645926,-123.24182480927222,3,3
2025-01-12 09:00:04,49.257826909467816,-123.24181175940934,4,4
2025-01-12 09:00:05,49.25782511247637,-123.24179870954647,5,5
2025-01-12 09:00:06,49.25782331548492,-123.2417856596836,6,6
2025-01-12 09:00:07,49.25782151849348,-123.24177260982073,7,7
2025-01-12 09:00:08,49.25781972150203,-123.24175955995787,8,8
2025-01-12 09:00:09,49.25781792451059,-123.241746510095,9,9
2025-01-12 09:00:10,49.25781612751914,-123.24173346023213,10,10
2025-01-12 09:00:11,49.257814330527694,-123.24172041036925,11,11
2025-01-12 09:00:12,49.25781253353625,-123.24170736050638,12,12
2025-01-12 09:00:13,49.257810736544805,-123.24169431064351,13,13
2025-01-12 09:00:14,49.25780893955336,-123.24168126078065,14,14
2025-01-12 09:00:15,49.257807142561916,-123.24166821091778,15,15
2025-01-12 09:00:16,49.25780534557047,-123.24165516105491,16,16
2025-01-12 09:00:17,49.25780354857903,-123.24164211119204,17,17
2025-01-12 09:00:18,49.25780175158758,-123.24162906132916,18,18
2025-01-12 09:00:19,49.25779995459613,-123.2416160114663,19,19
2025-01-12 09:00:20,49.25779815760469,-123.24160296160343,20,20
2025-01-12 09:00:21,49.25779636061324,-123.24158991174056,21,21
2025-01-12 09:00:22,49.2577945636218,-123.24157686187769,22,22
2025-01-12 09:00:23,49.25779276663035,-123.24156381201482,23,23
2025-01-12 09:00:24,49.257790969638904,-123.24155076215196,24,24
2025-01-12 09:00:25,49.25778917264746,-123.24153771228909,25,25
2025-01-12 09:00:26,49.257787375656015,-123.24152466242622,26,26
2025-01-12 09:00:27,49.257785578664574,-123.24151161256334,27,27
2025-01-12 09:00:28,49.257783781673126,-123.24149856270047,28,28
2025-01-12 09:00:29,49.25778198468168,-123.24148551283761,29,29
2025-01-12 09:00:30,49.25778018769024,-123.24147246297474,30,30
